channel,gain_2023_nC_per_PE,gain_2019_2020_nC_per_PE,transparency_c1Mu_mean_nC_per_PE,transparency_c1Mu_std_nC_per_PE,delta_2023_minus_2019_2020_nC_per_PE,ratio_2023_over_2019_2020,frac_change_2023_vs_2019_2020,delta_2023_minus_transparency_nC_per_PE,delta_2019_2020_minus_transparency_nC_per_PE,ratio_2023_over_transparency,ratio_2019_2020_over_transparency
447,0.001373,0.001211,,,0.00016200000000000003,1.133773740710157,0.1337737407101569,,,,
448,0.001353,0.001217,,,0.00013600000000000005,1.1117502054231718,0.11175020542317178,,,,
449,0.001375,0.001239,,,0.00013599999999999984,1.1097659402744147,0.1097659402744147,,,,
450,0.001321,0.001172,,,0.00014899999999999983,1.1271331058020477,0.12713310580204762,,,,
451,0.001302,0.001238,,,6.400000000000004e-05,1.0516962843295639,0.051696284329563844,,,,
452,0.001618,0.00137,,,0.0002480000000000002,1.1810218978102192,0.18102189781021913,,,,
453,0.001466,0.001158,,,0.0003080000000000001,1.2659758203799656,0.2659758203799656,,,,
454,0.001241,0.001156,,,8.5e-05,1.0735294117647058,0.0735294117647059,,,,
455,0.001388,0.001145,,,0.00024299999999999994,1.2122270742358079,0.2122270742358078,,,,
456,0.001535,0.001199,,,0.00033599999999999993,1.28023352793995,0.2802335279399499,,,,
457,0.00165,0.001321,,,0.0003290000000000001,1.2490537471612415,0.24905374716124157,,,,
458,0.001478,0.001244,,,0.00023399999999999983,1.188102893890675,0.18810289389067508,,,,
459,0.00136,0.001263,,,9.700000000000008e-05,1.0768012668250198,0.07680126682501985,,,,
460,0.001463,0.001237,,,0.00022600000000000007,1.1827000808407437,0.1827000808407438,,,,
461,0.001375,0.00123,,,0.00014499999999999995,1.1178861788617886,0.11788617886178858,,,,
462,0.00142,0.001331,,,8.90000000000001e-05,1.0668670172802406,0.0668670172802405,,,,
463,0.001396,0.001152,,,0.00024400000000000008,1.2118055555555556,0.2118055555555556,,,,
